ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
1;АЭР;14.11.16;УТСК;МНР;Исполнительная документация;ок;офис АЭР;;
2;ЭА;14.11.16; -;Смена учредителей;Нотариус, переговоры;ок;командировка;;
3;АЭР;14.11.16;УТСК;Согласование ПСИ;Сбор информации, выработка решения;неокончено;офис АЭР;;
4;АЭР;14.11.16; -;Выбор технического решения;Изучение и подбор оборудования;ок;офис АЭР;;
5;АЭР;14.11.16; -;Общие;Возврат денег ЭТМ;неокончено;офис АЭР;;
6;ЛВЕ;14.11.16;РНПК;Сдача работ;Управление;неокончено;офис АЭР;;
7;АЭР;14.11.16;УТСК;Авансовый отчет; -;ок;офис АЭР;;
8;АЭР;14.11.16;Глобус;Сдача работ;Согласование документов;неокончено;офис АЭР;;
9;АЭР;15.11.16;УТСК;МНР;Наземный канал ПНС-1;ок;дома;;
10;АЭР;15.11.16;УТСК;Согласование ПСИ;Изучение НТД;неокончено;дома;;
11;АЭР;15.11.16;УТСК;Согласование ПСИ;Сбор информации, выработка решения;ок;офис АЭР;;
12;АЭР;15.11.16;Глобус;Сдача работ;Согласование документов;неокончено;офис АЭР;;
13;ЛВЕ;15.11.16;РНПК;Сдача работ;Управление;неокончено;офис АЭР;;
14;АЭР;15.11.16;УТСК;Испытания;Подготовка к испытаниям;ок;офис АЭР;;
15;АЭР;15.11.16;ЧаТЭЦ-18;Сдача работ;Подготовка документов;ок;офис АЭР;;
16;ЭА;15.11.16;Техуглерод;Сдача работ;Доработка ТРП на АИИС;ок;офис АЭР;;
17;АЭР;15.11.16; -;Стратегическое планирование;Обсуждение;неокончено;офис АЭР;;
18;АЭР;15.11.16;Си Айрлайд;ТКП;Сбор информации, выработка решения;ок;офис АЭР;;
19;АЭР;15.11.16;АнНПЗ;ТКП;Сбор информации, выработка решения;ок;офис АЭР;;
20;ЛВЕ;16.11.16;РНПК;Сдача работ;Согласование документов;неокончено;командировка;;
21;АЭР;17.11.16;УТСК;Сдача работ;Исполнительная документация;ок;офис АЭР;;
22;АЭР;17.11.16; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
23;ЭА;17.11.16;Техуглерод;Сдача работ;Печать проекта ТМ и СС;ок;офис АЭР;;
24;ЭА;17.11.16; -;Общие; -;ок;офис АЭР;;
25;АЭР;17.11.16;Глобус;Сдача работ;Подготовка документов;неокончено;офис АЭР;;
26;АЭР;07.12.16; -;Общие;Выставка;ок;командировка;;
27;АЭР;07.12.16;Глобус;Техсопровождение;Стык Тульских сетей и МЭС;ок;офис АЭР;;
28;ЛВЕ;07.12.16;РНПК;МНР;Подготовка;неокончено;офис АЭР;;
29;АЭР;07.12.16;Диаскан;Конкурс;Потготовка КЗ, техчасть;неокончено;офис АЭР;;
30;АЭР;07.12.16;Диаскан;Конкурс;Потготовка КЗ;неокончено;офис АЭР;;
31;АЭР;11.12.16;Диаскан;Конкурс;Подача КЗ;ок;офис АЭР;;
32;АЭР;12.12.16;Си Айрлайд;Подготовка ППО;Закупка спецодежды;ок;командировка;;
